dataset,param_tag,root_features_dropped,tgb_acc_baseline,tgb_acc_ablated,gosdt_acc_baseline,gosdt_acc_ablated,overlap_baseline,overlap_ablated
bike,nest100_depth1,hr,0.872554660529344,0.7235327963176065,0.8524165707710012,0.7232451093210587,0.8333333333333334,0.8
bike,nest100_depth2,hr,0.8909666283084005,0.7373417721518988,0.8771576524741082,0.7243958573072498,0.375,1.0
bike,nest100_depth3,hr,0.8875143843498274,0.7350402761795167,0.8783084004602992,0.7252589182968929,0.5,0.8
bike,nest10_depth1,hr,0.770138089758343,0.6467203682393556,0.770138089758343,0.6467203682393556,1.0,1.0
bike,nest10_depth2,hr,0.8564441887226697,0.6703107019562716,0.8492520138089759,0.6685845799769851,0.8,0.6666666666666666
bike,nest10_depth3,hr,0.8777330264672036,0.7255466052934407,0.8547180667433832,0.7269850402761795,0.5714285714285714,0.8
bike,nest15_depth1,hr,0.8060989643268124,0.6495972382048332,0.8060989643268124,0.6495972382048332,1.0,1.0
bike,nest15_depth2,hr,0.8621979286536249,0.6766398158803222,0.8604718066743383,0.6795166858457997,0.6666666666666666,0.75
bike,nest15_depth3,hr,0.8780207134637514,0.7238204833141542,0.8613348676639816,0.7269850402761795,0.7142857142857143,1.0
bike,nest200_depth1,hr,0.883199079401611,0.7327387802071347,0.8613348676639816,0.7261219792865362,0.7142857142857143,1.0
bike,nest200_depth2,hr,0.8906789413118527,0.7416570771001151,0.8406214039125431,0.7243958573072498,0.5,1.0
bike,nest200_depth3,hr,0.8889528193325662,0.748849252013809,0.8147295742232451,0.7022439585730725,0.4,0.4
bike,nest20_depth1,hr,0.8383199079401611,0.6467203682393556,0.8383199079401611,0.6481588032220944,1.0,0.5
bike,nest20_depth2,hr,0.8855005753739931,0.726409666283084,0.8676639815880323,0.7111622554660529,0.375,0.6666666666666666
bike,nest20_depth3,hr,0.8855005753739931,0.7238204833141542,0.8659378596087457,0.7304372842347526,0.5714285714285714,0.8333333333333334
bike,nest25_depth1,hr,0.8489643268124281,0.6815304948216341,0.8472382048331415,0.6800920598388953,0.75,1.0
bike,nest25_depth2,hr,0.8817606444188723,0.7252589182968929,0.8676639815880323,0.7117376294591484,0.375,0.6666666666666666
bike,nest25_depth3,hr,0.8837744533947065,0.7269850402761795,0.8716915995397008,0.7232451093210587,0.625,1.0
bike,nest30_depth1,hr,0.8616225546605294,0.6809551208285386,0.8512658227848101,0.6800920598388953,0.8,1.0
bike,nest30_depth2,hr,0.8857882623705409,0.7252589182968929,0.8682393555811277,0.7117376294591484,0.375,0.6666666666666666
bike,nest30_depth3,hr,0.8829113924050633,0.7266973532796318,0.869102416570771,0.7258342922899885,0.7142857142857143,1.0
bike,nest35_depth1,hr,0.8656501726121979,0.7174913693901036,0.8518411967779056,0.7126006904487917,0.8,0.75
bike,nest35_depth2,hr,0.8803222094361335,0.7197928653624857,0.8558688147295742,0.714614499424626,0.5714285714285714,0.8
bike,nest35_depth3,hr,0.8855005753739931,0.7272727272727273,0.8719792865362486,0.7266973532796318,0.5,0.8333333333333334
bike,nest40_depth1,hr,0.8650747986191024,0.7160529344073648,0.8518411967779056,0.7126006904487917,0.8,0.75
bike,nest40_depth2,hr,0.8837744533947065,0.7330264672036824,0.8722669735327964,0.7203682393555811,0.5,1.0
bike,nest40_depth3,hr,0.8857882623705409,0.7295742232451093,0.8783084004602992,0.7261219792865362,0.5,0.8
bike,nest5_depth2,hr,0.8158803222094362,0.6475834292289988,0.8147295742232451,0.6475834292289988,0.6666666666666666,0.5
bike,nest5_depth3,hr,0.8584579976985041,0.7163406214039125,0.8524165707710012,0.7160529344073648,1.0,1.0
breast_cancer,nest100_depth1,perimeter_worst,0.9736842105263158,0.9736842105263158,0.9473684210526315,0.9298245614035088,0.5,0.4444444444444444
breast_cancer,nest100_depth2,radius_worst,0.9649122807017544,0.9649122807017544,0.9473684210526315,0.956140350877193,0.38461538461538464,0.4
breast_cancer,nest100_depth3,perimeter_worst,0.9649122807017544,0.9649122807017544,0.9298245614035088,0.9298245614035088,0.625,0.7142857142857143
breast_cancer,nest10_depth1,perimeter_worst,0.9298245614035088,0.9122807017543859,0.9298245614035088,0.9122807017543859,1.0,1.0
breast_cancer,nest10_depth2,radius_worst,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.956140350877193,0.7,0.8571428571428571
breast_cancer,nest10_depth3,perimeter_worst,0.9649122807017544,0.956140350877193,0.9210526315789473,0.9210526315789473,0.5,0.5555555555555556
breast_cancer,nest15_depth1,perimeter_worst,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.75,1.0
