binary_variable,tree_count,total_binary_variables,importance
age <= 22.5,5,82,0.09556730514118078
priors_count <= 2.5,4,82,0.21853946947799172
age <= 33.5,4,82,0.058829608568891766
priors_count <= 1.5,3,82,0.10351134083465353
priors_count <= 8.5,2,82,0.01655116195859423
age <= 36.5,2,82,0.018699351603670183
priors_count <= 5.0,2,82,0.043727103229078544
priors_count <= 9.5,2,82,0.01093787706789384
age <= 24.5,1,82,0.03594655572671297
priors_count <= 3.5,1,82,0.04847305173670983
age <= 29.0,1,82,0.0208974924705548
age <= 34.5,1,82,0.019979911551708012
age <= 20.5,1,82,0.033417543227454015
age <= 38.5,1,82,0.025631221635867535
