binary_variable,tree_count,total_binary_variables,importance
hr <= 6.5,10,80,0.48157212193476323
hr <= 5.5,8,80,0.03341815617887626
yr <= 0.5,3,80,0.048188451625148766
hr <= 21.5,2,80,0.045978741545915885
temp <= 0.3700000047683716,1,80,0.027587021045294282
temp <= 0.45000000298023224,1,80,0.02609784293462754
atemp <= 0.3257499933242798,1,80,0.019270607092579783
temp <= 0.4699999988079071,1,80,0.01660787046628067
temp <= 0.3100000023841858,1,80,0.02079988920259328
season <= 1.5,1,80,0.02562424394854351
temp <= 0.48999999463558197,1,80,0.010905290782431958
