binary_variable,tree_count,total_binary_variables,importance
age <= 22.5,5,51,0.09864636200326009
priors_count <= 2.5,4,51,0.22611255742903752
age <= 33.5,4,51,0.06073612576133029
priors_count <= 1.5,3,51,0.10630006898008378
priors_count <= 8.5,2,51,0.016798368685249098
age <= 36.5,2,51,0.01906548143269777
priors_count <= 9.5,2,51,0.011270846163195448
age <= 24.5,1,51,0.03712834535664484
priors_count <= 3.5,1,51,0.04990379219468444
age <= 29.5,1,51,0.041952614739354806
priors_count <= 5.5,1,51,0.03236728058200451
age <= 34.5,1,51,0.020643073415824276
age <= 20.5,1,51,0.03436299106619784
priors_count <= 5.0,1,51,0.018484783131956874
age <= 38.5,1,51,0.026382161599828115
