binary_variable,tree_count,total_binary_variables,importance
MSinceMostRecentInqexcl7days <= 0.5,9,106,0.04535135948807059
ExternalRiskEstimate <= 70.5,4,106,0.11871270688940352
MSinceMostRecentInqexcl7days <= 1.5,4,106,0.020612200947026094
ExternalRiskEstimate <= 74.5,3,106,0.21363912615791625
ExternalRiskEstimate <= 73.5,3,106,0.15478888795039059
ExternalRiskEstimate <= 78.5,3,106,0.03190204771860062
ExternalRiskEstimate <= 63.5,3,106,0.01662872367277012
MSinceMostRecentInqexcl7days <= -7.5,3,106,0.03816048040021689
NumSatisfactoryTrades <= 15.5,2,106,0.007355092595950129
ExternalRiskEstimate <= 67.5,2,106,0.031005583416681404
PercentTradesWBalance <= 47.5,2,106,0.015595313019509557
NumSatisfactoryTrades <= 9.5,2,106,0.004412901463269047
NetFractionRevolvingBurden <= 57.5,2,106,0.006639899181138737
ExternalRiskEstimate <= 81.5,1,106,0.006746133926777561
MSinceOldestTradeOpen <= 138.5,1,106,0.0016446903205369072
AverageMInFile <= 49.5,1,106,0.006957312334009261
PercentTradesWBalance <= 73.5,1,106,0.007454650050249718
ExternalRiskEstimate <= 80.5,1,106,0.004656139903959824
NumSatisfactoryTrades <= 27.5,1,106,0.006256579515119679
PercentInstallTrades <= 43.5,1,106,0.004411481577889883
AverageMInFile <= 59.5,1,106,0.005159322123108186
NetFractionRevolvingBurden <= 47.5,1,106,0.00450319402720511
AverageMInFile <= 64.5,1,106,0.00648454306559155
NetFractionRevolvingBurden <= 37.5,1,106,0.007539141097823603
AverageMInFile <= 42.5,1,106,0.009095491939275436
ExternalRiskEstimate <= 62.5,1,106,0.0029123265019219964
NetFractionRevolvingBurden <= 59.5,1,106,0.005157419169668479
AverageMInFile <= 88.5,1,106,0.0018187296281663528
PercentInstallTrades <= 45.5,1,106,0.004726207486173047
AverageMInFile <= 63.5,1,106,0.004975320250973473
PercentInstallTrades <= 53.5,1,106,0.002132855005884101
PercentTradesWBalance <= 43.5,1,106,0.0027615459819363753
NumSatisfactoryTrades <= 18.5,1,106,0.006076649498335183
MSinceOldestTradeOpen <= 392.0,1,106,0.0008731109817780483
ExternalRiskEstimate <= 75.5,1,106,0.032880502416254766
PercentTradesWBalance <= 81.5,1,106,0.004170127776732442
AverageMInFile <= 57.5,1,106,0.001924317359584957
ExternalRiskEstimate <= 84.5,1,106,0.003912160720523896
PercentTradesWBalance <= 2.0,1,106,0.000929190062555562
NumSatisfactoryTrades <= 19.5,1,106,0.0034081206564801365
PercentTradesWBalance <= 24.0,1,106,0.004737664340622059
