binary_variable,tree_count,total_binary_variables,importance
MSinceMostRecentInqexcl7days <= 0.5,9,403,0.037221875319050586
ExternalRiskEstimate <= 70.5,4,403,0.09576949979305628
MSinceMostRecentInqexcl7days <= 1.5,4,403,0.017251106788960476
ExternalRiskEstimate <= 74.5,3,403,0.17194680450302957
ExternalRiskEstimate <= 73.5,3,403,0.12479621397445409
ExternalRiskEstimate <= 78.5,3,403,0.025897100926598447
ExternalRiskEstimate <= 63.5,3,403,0.013951779192206448
MSinceMostRecentInqexcl7days <= -7.5,3,403,0.03266661370916398
NumSatisfactoryTrades <= 15.5,2,403,0.005905201632433987
ExternalRiskEstimate <= 67.5,2,403,0.024893530491725678
PercentTradesWBalance <= 47.5,2,403,0.012905323711956993
NumSatisfactoryTrades <= 9.5,2,403,0.004154291432516553
NetFractionRevolvingBurden <= 57.5,2,403,0.005529458425006025
ExternalRiskEstimate <= 81.5,1,403,0.0054162854589973625
MSinceOldestTradeOpen <= 138.5,1,403,0.0018190309327790232
AverageMInFile <= 49.5,1,403,0.005039115581087262
PercentTradesWBalance <= 73.5,1,403,0.006169972004946553
ExternalRiskEstimate <= 80.5,1,403,0.003759620354847213
NumSatisfactoryTrades <= 27.5,1,403,0.0055133729746233056
PercentInstallTrades <= 43.5,1,403,0.004087564245093657
AverageMInFile <= 59.5,1,403,0.004396892641474694
NetFractionRevolvingBurden <= 47.5,1,403,0.004903954010338488
AverageMInFile <= 64.5,1,403,0.005206725966733427
NetFractionRevolvingBurden <= 37.5,1,403,0.007672348445769336
AverageMInFile <= 42.5,1,403,0.007273373534750283
ExternalRiskEstimate <= 62.5,1,403,0.003264235158770836
NetFractionRevolvingBurden <= 59.5,1,403,0.004140750058898388
AverageMInFile <= 88.5,1,403,0.0011556270508429928
PercentInstallTrades <= 45.5,1,403,0.004136728152803239
AverageMInFile <= 63.5,1,403,0.004437675053584991
PercentInstallTrades <= 53.5,1,403,0.001425673163948352
PercentTradesWBalance <= 43.5,1,403,0.002217169345976694
NumSatisfactoryTrades <= 18.5,1,403,0.005758973443284783
MSinceOldestTradeOpen <= 391.5,1,403,0.0009014797811522629
ExternalRiskEstimate <= 75.5,1,403,0.027086036735589222
PercentTradesWBalance <= 81.5,1,403,0.0035460204522450556
AverageMInFile <= 57.5,1,403,0.0015625439033044313
ExternalRiskEstimate <= 84.5,1,403,0.0034477198935134795
PercentTradesWBalance <= 2.0,1,403,0.001197707295181883
NumSatisfactoryTrades <= 19.5,1,403,0.002947038090894076
PercentTradesWBalance <= 24.0,1,403,0.003157048036995857
