binary_variable,tree_count,total_binary_variables,importance
word_freq_remove <= 0.05999999865889549,5,278,0.09051865608517112
char_freq_! <= 0.079500000923872,5,278,0.15072067067017458
word_freq_remove <= 0.044999999925494194,4,278,0.03483627438211123
word_freq_hp <= 0.38499999046325684,3,278,0.027642274053777505
word_freq_george <= 0.019999999552965164,3,278,0.01039949149249609
word_freq_hp <= 0.39000000059604645,3,278,0.010586766947020385
word_freq_george <= 0.02500000037252903,3,278,0.004393835091472011
word_freq_money <= 0.009999999776482582,3,278,0.013040075257113952
char_freq_$ <= 0.05550000071525574,2,278,0.11594302525416152
word_freq_edu <= 0.48999999463558197,2,278,0.005725618726010163
word_freq_remove <= 0.054999999701976776,2,278,0.009778910140688516
word_freq_free <= 0.10500000044703484,2,278,0.008184362780385463
word_freq_george <= 0.03999999910593033,2,278,0.003678755527706655
word_freq_free <= 0.2149999961256981,2,278,0.018181945436430192
word_freq_your <= 0.375,2,278,0.00844482388368675
char_freq_$ <= 0.02949999924749136,2,278,0.045210171133276036
word_freq_hp <= 0.2199999988079071,2,278,0.011855807655900679
word_freq_remove <= 0.009999999776482582,1,278,0.0012288573689663452
char_freq_! <= 0.5065000057220459,1,278,0.019057855455445333
char_freq_$ <= 0.04450000077486038,1,278,0.06026519390968014
word_freq_edu <= 0.19999999552965164,1,278,0.0031578787996667146
word_freq_george <= 0.14000000059604645,1,278,0.002987866363875232
char_freq_! <= 0.5084999799728394,1,278,0.017294035769707672
capital_run_length_longest <= 17.5,1,278,0.017031746677092702
word_freq_email <= 0.35500000417232513,1,278,0.0011685532665842691
capital_run_length_average <= 2.399500012397766,1,278,0.012169727456508081
char_freq_$ <= 0.164000004529953,1,278,0.0036233446631994495
word_freq_hp <= 0.22999999672174454,1,278,0.011453541073976338
char_freq_! <= 0.534500002861023,1,278,0.002041490925914416
word_freq_edu <= 0.17999999597668648,1,278,0.0017484714674348277
capital_run_length_average <= 2.291999936103821,1,278,0.008599148363224476
word_freq_your <= 0.6050000190734863,1,278,0.019590474459314614
capital_run_length_total <= 68.5,1,278,0.0073715531792662315
word_freq_free <= 0.6299999952316284,1,278,0.002230398145314618
word_freq_edu <= 0.17499999701976776,1,278,0.001200802061886715
word_freq_free <= 0.11499999836087227,1,278,0.007501083611327203
word_freq_1999 <= 0.06499999947845936,1,278,0.003804312961845471
capital_run_length_average <= 2.7545000314712524,1,278,0.005417841519830818
word_freq_meeting <= 0.47999998927116394,1,278,0.0013187108651419198
char_freq_$ <= 0.08050000295042992,1,278,0.004828881222165453
