binary_variable,tree_count,total_binary_variables,importance
number_inpatient <= 0.5,8,85,0.3502107937982434
number_inpatient <= 1.5,4,85,0.09411810108240143
number_diagnoses <= 5.5,3,85,0.04572525820016676
discharge_disposition_id <= 9.5,3,85,0.028879996626398792
number_diagnoses <= 6.5,2,85,0.018868198649165197
number_inpatient <= 2.5,2,85,0.02032510968396509
number_emergency <= 0.5,2,85,0.047803751837470626
number_outpatient <= 0.5,2,85,0.04565622850252917
discharge_disposition_id <= 10.5,1,85,0.023785872493990196
discharge_disposition_id <= 10.0,1,85,0.022895166513934393
number_inpatient <= 3.5,1,85,0.006805588980805797
diabetesMed_Yes <= 0.5,1,85,0.015900792969446128
