binary_variable,tree_count,total_binary_variables,importance
yr <= 0.5,11,130,0.05451336394339415
hr <= 6.5,10,130,0.44546023590969186
hr <= 5.5,10,130,0.01804525224761466
hr <= 0.5,7,130,0.0013001219663016407
workingday <= 0.5,5,130,0.03537818306562469
hr <= 22.5,3,130,0.03023406309324862
hr <= 21.5,3,130,0.036373042135070706
temp <= 0.45000000298023224,2,130,0.02374609581840226
hr <= 20.5,2,130,0.01576066751851989
temp <= 0.4699999988079071,2,130,0.024531857226954657
temp <= 0.3100000023841858,2,130,0.021622567019626626
hr <= 19.5,2,130,0.009877981522416163
season <= 1.5,2,130,0.031047712485734055
temp <= 0.3700000047683716,1,130,0.02523053484799885
atemp <= 0.3409000039100647,1,130,0.017534491004339004
hum <= 0.8050000071525574,1,130,0.006358838425150983
hum <= 0.8149999976158142,1,130,0.003063891958731124
atemp <= 0.31059999763965607,1,130,0.008787439533066418
weathersit <= 2.5,1,130,0.024938544408725824
season <= 2.5,1,130,0.004644484677485334
atemp <= 0.4317999929189682,1,130,0.0006661019075494229
hum <= 0.7450000047683716,1,130,0.005252418431534048
