binary_variable,tree_count,total_binary_variables,importance
char_freq_! <= 0.079500000923872,5,154,0.15773605367798796
word_freq_remove <= 0.044999999925494194,4,154,0.04196804785605838
word_freq_remove <= 0.05999999865889549,3,154,0.0636105181998589
char_freq_! <= 0.5084999799728394,3,154,0.036682119599051065
word_freq_hp <= 0.38499999046325684,3,154,0.023458292831335548
word_freq_money <= 0.009999999776482582,3,154,0.01334374210003596
word_freq_remove <= 0.054999999701976776,3,154,0.023461204943950285
char_freq_$ <= 0.05550000071525574,2,154,0.12136222773756243
word_freq_edu <= 0.48999999463558197,2,154,0.005993235403692743
word_freq_remove <= 0.07500000298023224,2,154,0.013550399023811359
word_freq_edu <= 0.16499999910593033,2,154,0.010694009494065761
word_freq_george <= 0.07999999821186066,2,154,0.002849345450900334
word_freq_free <= 0.10500000044703484,2,154,0.008566901695576737
word_freq_george <= 0.019999999552965164,2,154,0.008521776880278449
word_freq_george <= 0.03999999910593033,2,154,0.003718334869930149
word_freq_free <= 0.2149999961256981,2,154,0.019031773562324685
word_freq_your <= 0.375,2,154,0.008773296634775564
word_freq_george <= 0.14000000059604645,2,154,0.002081685847449598
char_freq_$ <= 0.02949999924749136,2,154,0.0473233044687517
word_freq_hp <= 0.22999999672174454,2,154,0.014349393115080235
word_freq_hp <= 0.4099999964237213,1,154,0.009187473584232943
word_freq_george <= 0.02500000037252903,1,154,0.003104955858380093
char_freq_$ <= 0.04450000077486038,1,154,0.06308200231865578
capital_run_length_longest <= 17.5,1,154,0.017827814260173422
word_freq_hp <= 0.3999999910593033,1,154,0.004307500893832417
word_freq_email <= 0.28499999456107616,1,154,0.0008061972533471683
capital_run_length_average <= 2.399500012397766,1,154,0.012715078158679135
char_freq_$ <= 0.164000004529953,1,154,0.003792700589128698
capital_run_length_average <= 2.291999936103821,1,154,0.008969161659899442
word_freq_hp <= 0.39000000059604645,1,154,0.0030020392430386983
word_freq_your <= 0.5999999940395355,1,154,0.003562084655968459
capital_run_length_total <= 68.5,1,154,0.007716101195052759
word_freq_hp <= 0.2199999988079071,1,154,0.009915793982784138
word_freq_free <= 0.6299999952316284,1,154,0.0021061261723296105
word_freq_edu <= 0.17499999701976776,1,154,0.0011193609430716503
word_freq_free <= 0.11499999836087227,1,154,0.00785049608759868
word_freq_1999 <= 0.06499999947845936,1,154,0.0025180555911119376
capital_run_length_average <= 2.7545000314712524,1,154,0.0056710726232506075
word_freq_meeting <= 0.4599999934434891,1,154,0.0019355595289717923
char_freq_$ <= 0.08050000295042992,1,154,0.005054584191824914
