binary_variable,tree_count,total_binary_variables,importance
ExternalRiskEstimate <= 70.5,4,218,0.11789696458893927
MSinceMostRecentInqexcl7days <= 1.5,3,218,0.023876365962896724
ExternalRiskEstimate <= 74.5,2,218,0.15881316808118973
ExternalRiskEstimate <= 67.5,2,218,0.029769968788540623
ExternalRiskEstimate <= 73.5,2,218,0.12958801517224142
ExternalRiskEstimate <= 78.5,2,218,0.038400821658775466
MSinceMostRecentInqexcl7days <= -7.5,2,218,0.046505816954345504
ExternalRiskEstimate <= 75.5,2,218,0.04954054472447229
MSinceMostRecentInqexcl7days <= 0.5,2,218,0.03625201595241234
ExternalRiskEstimate <= 81.5,1,218,0.006328623431637823
PercentTradesWBalance <= 73.5,1,218,0.00800407625295396
AverageMInFile <= 59.5,1,218,0.009774764292161365
ExternalRiskEstimate <= 80.5,1,218,0.005401953149553196
NetFractionRevolvingBurden <= 57.5,1,218,0.01098186475919386
PercentTradesWBalance <= 43.5,1,218,0.005972752426279748
AverageMInFile <= 63.5,1,218,0.012996388796215572
AverageMInFile <= 49.5,1,218,0.0057898316395502015
PercentTradesWBalance <= 47.5,1,218,0.010593197973071683
