binary_variable,tree_count,total_binary_variables,importance
hr <= 6.5,10,53,0.49820952024148496
hr <= 5.5,8,53,0.03383022219940045
yr <= 0.5,3,53,0.048309242405967984
hr <= 21.5,2,53,0.04675472312782561
temp <= 0.3700000047683716,1,53,0.02855796985516423
temp <= 0.45000000298023224,1,53,0.027016378846702688
atemp <= 0.3257499933242798,1,53,0.019948852597634934
temp <= 0.4699999988079071,1,53,0.017192398677458445
temp <= 0.3100000023841858,1,53,0.021396637825950544
season <= 1.5,1,53,0.02637244748377432
temp <= 0.48999999463558197,1,53,0.011289111822367009
