binary_variable,tree_count,total_binary_variables,importance
concave points_mean <= 0.05127999931573868,4,41,0.14518101136260333
texture_mean <= 14.954999923706055,3,41,0.015087056298510045
concave points_worst <= 0.14169999957084656,3,41,0.05864277666304917
radius_worst <= 16.80500030517578,3,41,0.1517179955885401
concave points_worst <= 0.16039999574422836,2,41,0.02122039870298752
concavity_worst <= 0.2248000055551529,2,41,0.010844509063342977
area_mean <= 696.25,2,41,0.008484837542162336
perimeter_worst <= 112.79999923706055,1,41,0.15341876707842497
radius_worst <= 16.795000076293945,1,41,0.12319589527287754
perimeter_worst <= 114.45000076293945,1,41,0.09207855459996053
concave points_worst <= 0.17629999667406082,1,41,0.01572840991034807
texture_se <= 0.47314999997615814,1,41,0.005324898005980524
area_worst <= 957.4500122070312,1,41,0.004510823059845252
area_worst <= 710.2000122070312,1,41,0.005072683971248477
concave points_mean <= 0.05591999925673008,1,41,0.04051800286968641
texture_worst <= 23.859999656677246,1,41,0.0027851094911799006
area_se <= 34.404998779296875,1,41,0.01022278374271098
concavity_se <= 0.13565000146627426,1,41,0.006661598760785193
