binary_variable,tree_count,total_binary_variables
age <= 22.5,7,117
age <= 20.5,6,117
priors_count <= 2.5,5,117
priors_count <= 7.5,5,117
priors_count <= 8.5,4,117
priors_count <= 1.5,4,117
age <= 33.0,3,117
age <= 38.5,3,117
sex=female <= 0.5,3,117
age <= 36.5,3,117
priors_count <= 0.5,3,117
age <= 52.5,3,117
age <= 24.5,3,117
age <= 33.5,2,117
priors_count <= 9.0,2,117
priors_count <= 5.5,2,117
priors_count <= 15.5,2,117
priors_count <= 9.5,1,117
age <= 34.0,1,117
age <= 32.5,1,117
priors_count <= 4.5,1,117
age <= 29.5,1,117
age <= 19.5,1,117
priors_count <= 3.5,1,117
priors_count <= 13.0,1,117
age <= 29.0,1,117
age <= 55.5,1,117
