binary_variable,tree_count,total_binary_variables
ExternalRiskEstimate <= 70.5,3,21
ExternalRiskEstimate <= 74.5,2,21
ExternalRiskEstimate <= 78.5,2,21
ExternalRiskEstimate <= 73.5,1,21
ExternalRiskEstimate <= 75.5,1,21
ExternalRiskEstimate <= 67.5,1,21
