binary_variable,tree_count,total_binary_variables
V14 <= -1.812438189983368,1,22
V14 <= -1.7687879800796509,1,22
V14 <= -1.8273465633392334,1,22
V14 <= -1.5627466440200806,1,22
V14 <= -2.7159359455108643,1,22
V14 <= -1.4205476641654968,1,22
V4 <= 1.5782626867294312,1,22
V14 <= -2.7358014583587646,1,22
V14 <= -1.349036455154419,1,22
V4 <= 1.622549831867218,1,22
