binary_variable,tree_count,total_binary_variables,importance
age <= 22.5,7,117,0.11036866517184825
age <= 20.5,6,117,0.02379019432507522
priors_count <= 2.5,5,117,0.2353516554437484
priors_count <= 7.5,5,117,0.024734758221081662
priors_count <= 8.5,4,117,0.013802543276952413
priors_count <= 1.5,4,117,0.11397140553591575
age <= 33.0,3,117,0.029716882819911573
age <= 38.5,3,117,0.01592649004125714
sex=female <= 0.5,3,117,0.030568984049575594
age <= 36.5,3,117,0.019696165681131205
priors_count <= 0.5,3,117,0.0382393198020867
age <= 52.5,3,117,0.00781287949166278
age <= 24.5,3,117,0.03689815409397444
age <= 33.5,2,117,0.016330392181691324
priors_count <= 9.0,2,117,0.013740550053620836
priors_count <= 5.5,2,117,0.022062622315939126
priors_count <= 15.5,2,117,0.005159798102959233
priors_count <= 9.5,1,117,0.008311612286301694
age <= 34.0,1,117,0.008223770487957057
age <= 32.5,1,117,0.00775159037438222
priors_count <= 4.5,1,117,0.007601973213103486
age <= 29.5,1,117,0.006105825176405878
age <= 19.5,1,117,0.007006641149969189
priors_count <= 3.5,1,117,0.021235201853542912
priors_count <= 13.0,1,117,0.0024327914462373692
age <= 29.0,1,117,0.00880256580689273
age <= 55.5,1,117,0.007661212382122225
