binary_variable,tree_count,total_binary_variables,importance
word_freq_hp <= 0.38499999046325684,4,190,0.035841629356227984
char_freq_! <= 0.079500000923872,4,190,0.16438476399631707
word_freq_remove <= 0.054999999701976776,3,190,0.07418081978980763
char_freq_$ <= 0.05550000071525574,2,190,0.1301247407676531
word_freq_remove <= 0.044999999925494194,2,190,0.04196281651647442
char_freq_$ <= 0.02949999924749136,2,190,0.036887392459954475
word_freq_hp <= 0.11999999731779099,2,190,0.04014075621673974
capital_run_length_longest <= 17.5,1,190,0.01974305964760082
capital_run_length_average <= 2.399500012397766,1,190,0.014427735602326562
char_freq_$ <= 0.039499999955296516,1,190,0.03829505219349746
word_freq_free <= 0.19500000029802322,1,190,0.01844441163380048
capital_run_length_total <= 68.5,1,190,0.010332751426081874
char_freq_$ <= 0.08050000295042992,1,190,0.008098793054321452
word_freq_hp <= 0.2199999988079071,1,190,0.011147123552473957
word_freq_money <= 0.009999999776482582,1,190,0.013509032831235165
word_freq_free <= 0.024999999441206455,1,190,0.0424678637088383
word_freq_your <= 0.6050000190734863,1,190,0.018232577977123594
capital_run_length_average <= 3.7410000562667847,1,190,0.010262495493452286
