binary_variable,tree_count,total_binary_variables,importance
perimeter_worst <= 112.79999923706055,5,74,0.45990347650652014
area_mean <= 696.25,5,74,0.015042418322470974
concave points_mean <= 0.05127999931573868,5,74,0.15321693951642018
texture_mean <= 14.990000247955322,3,74,0.009806421953237032
area_worst <= 810.5,3,74,0.0044000776076307405
texture_worst <= 26.28499984741211,3,74,0.010690092937409407
concave points_worst <= 0.1359499990940094,3,74,0.019194291320452864
concavity_worst <= 0.2248000055551529,3,74,0.011529795961423494
concave points_worst <= 0.14169999957084656,2,74,0.01750128397596912
concave points_worst <= 0.16029999405145645,2,74,0.026998940656111324
texture_worst <= 24.869999885559082,2,74,0.005708417537519173
texture_worst <= 25.515000343322754,2,74,0.00514302187863447
concavity_worst <= 0.1981000006198883,2,74,0.0039011451905758675
texture_mean <= 20.299999237060547,2,74,0.004581437835677706
area_se <= 13.929999828338623,2,74,0.0048513222568200565
area_worst <= 957.4500122070312,2,74,0.0056496237380177115
fractal_dimension_worst <= 0.06492000073194504,2,74,0.00405545614337867
area_se <= 45.170000076293945,2,74,0.004079521831672391
radius_worst <= 16.795000076293945,2,74,0.025738173671033097
texture_mean <= 15.535000324249268,1,74,0.005225817449742095
concavity_worst <= 0.20795000344514847,1,74,0.00357365466168771
compactness_se <= 0.01717500016093254,1,74,0.0034211286821952533
concave points_worst <= 0.18074999749660492,1,74,0.00802199070741179
area_worst <= 810.1000061035156,1,74,0.0003184550487257409
perimeter_worst <= 114.45000076293945,1,74,0.06091054429344196
area_worst <= 733.7999877929688,1,74,0.0012609428314199192
concave points_worst <= 0.14559999853372574,1,74,0.010574115435271847
concave points_worst <= 0.1376499980688095,1,74,0.0017012957632455414
smoothness_worst <= 0.1782499998807907,1,74,0.00819143624687966
perimeter_worst <= 113.85000228881836,1,74,7.615941448246272e-05
perimeter_worst <= 104.25,1,74,0.004285853205702543
texture_worst <= 20.875,1,74,0.002055543257500964
area_worst <= 929.8000183105469,1,74,0.002856509648254611
area_se <= 48.70000076293945,1,74,0.0031302545424994267
texture_se <= 0.47314999997615814,1,74,0.0039760802742768355
concave points_mean <= 0.038484999909996986,1,74,0.00019462048563057477
perimeter_se <= 6.597499847412109,1,74,0.0009612648757424063
