binary_variable,tree_count,total_binary_variables
age <= 22.5,5,18
priors_count <= 2.5,4,18
age <= 33.5,4,18
priors_count <= 1.5,3,18
priors_count <= 8.5,2,18
age <= 36.5,2,18
priors_count <= 5.5,2,18
priors_count <= 9.5,2,18
age <= 24.5,1,18
priors_count <= 3.5,1,18
age <= 29.5,1,18
age <= 34.5,1,18
age <= 20.5,1,18
age <= 38.5,1,18
