binary_variable,tree_count,total_binary_variables,importance
age <= 22.5,7,63,0.12457486375133929
age <= 20.5,6,63,0.02618288370668952
priors_count <= 2.5,5,63,0.266351338353156
age <= 33.5,5,63,0.05210751647243507
priors_count <= 7.5,5,63,0.027976421320439596
priors_count <= 8.5,4,63,0.013591068553503323
priors_count <= 1.5,4,63,0.12895312749250723
priors_count <= 9.5,3,63,0.02443777288622266
age <= 38.5,3,63,0.017624799125103195
sex=female <= 0.5,3,63,0.01896490664915333
age <= 36.5,3,63,0.022020595131464867
priors_count <= 0.5,3,63,0.03998258327813736
age <= 52.5,3,63,0.008364210947024341
age <= 24.5,3,63,0.04039694917914213
priors_count <= 5.0,2,63,0.027804969683607354
priors_count <= 15.5,2,63,0.008134122138423454
age <= 29.5,2,63,0.01604810833476525
age <= 34.5,1,63,0.009828958619782684
age <= 32.5,1,63,0.008818105785826253
priors_count <= 4.5,1,63,0.007400043146713552
age <= 19.5,1,63,0.006829207563727371
priors_count <= 3.5,1,63,0.023047765278725117
priors_count <= 13.5,1,63,0.0025206220925968695
age <= 55.5,1,63,0.007867036929081231
