binary_variable,tree_count,total_binary_variables,importance
char_freq_! <= 0.079500000923872,4,51,0.17819305747116657
word_freq_remove <= 0.054999999701976776,3,51,0.08016142318518808
word_freq_hp <= 0.38499999046325684,3,51,0.028998490254665242
char_freq_$ <= 0.05550000071525574,2,51,0.14110246756644088
word_freq_remove <= 0.044999999925494194,2,51,0.04550292989313093
char_freq_$ <= 0.02949999924749136,2,51,0.03999932731843109
word_freq_hp <= 0.11999999731779099,2,51,0.039466812621315184
word_freq_hp <= 0.3999999910593033,1,51,0.009751730988464925
capital_run_length_longest <= 17.5,1,51,0.02140864540558134
capital_run_length_average <= 2.399500012397766,1,51,0.015644904134868316
char_freq_$ <= 0.039499999955296516,1,51,0.041525741593879215
word_freq_free <= 0.19500000029802322,1,51,0.02000043941672374
capital_run_length_total <= 68.5,1,51,0.01120445439022356
char_freq_$ <= 0.08050000295042992,1,51,0.008782032360127758
word_freq_hp <= 0.2199999988079071,1,51,0.011956253246259568
word_freq_money <= 0.009999999776482582,1,51,0.014238154165700874
word_freq_free <= 0.024999999441206455,1,51,0.04623055743674546
word_freq_your <= 0.6050000190734863,1,51,0.01966904713757264
capital_run_length_average <= 3.7410000562667847,1,51,0.01107889680301272
