binary_variable,tree_count,total_binary_variables,importance
texture_mean <= 14.990000247955322,7,19,0.022235638738113846
texture_worst <= 26.350000381469727,7,19,0.02726993221680857
area_mean <= 696.25,6,19,0.014635755821235906
perimeter_worst <= 112.79999923706055,5,19,0.4139661316381736
concave points_worst <= 0.16039999574422836,5,19,0.028471155525397262
concave points_worst <= 0.1359499990940094,5,19,0.030021017767475355
concavity_worst <= 0.20795000344514847,5,19,0.015196722966971546
concave points_mean <= 0.05127999931573868,4,19,0.07137805073403183
concave points_worst <= 0.14545000344514847,4,19,0.016235143393134848
concave points_worst <= 0.14169999957084656,4,19,0.021210809815918497
texture_worst <= 20.875,3,19,0.013818967724951425
concave points_worst <= 0.18074999749660492,3,19,0.013528441940588852
radius_worst <= 16.795000076293945,3,19,0.13497772554838344
radius_worst <= 16.80500030517578,3,19,0.1028623707261816
area_se <= 48.70000076293945,3,19,0.008499627118650216
texture_mean <= 20.299999237060547,2,19,0.01765159576644227
area_worst <= 768.1000061035156,1,19,0.02764953149463947
