binary_variable,tree_count,total_binary_variables
texture_worst <= 26.350000381469727,9,20
concave points_mean <= 0.05127999931573868,8,20
perimeter_worst <= 112.79999923706055,7,20
texture_mean <= 14.990000247955322,6,20
area_mean <= 696.25,5,20
concave points_worst <= 0.18074999749660492,4,20
concave points_worst <= 0.16039999574422836,4,20
radius_worst <= 16.795000076293945,4,20
area_worst <= 929.8000183105469,4,20
area_se <= 48.70000076293945,4,20
concavity_worst <= 0.2248000055551529,3,20
area_worst <= 710.2000122070312,3,20
concave points_worst <= 0.14169999957084656,2,20
concave points_worst <= 0.1359499990940094,2,20
texture_mean <= 15.420000076293945,2,20
concave points_worst <= 0.1454000025987625,1,20
area_worst <= 768.1000061035156,1,20
concavity_worst <= 0.20795000344514847,1,20
