binary_variable,tree_count,total_binary_variables,importance
yr <= 0.5,11,53,0.05640435375901419
hr <= 6.5,10,53,0.5008039216868104
hr <= 5.5,10,53,0.018292012777352915
hr <= 0.5,7,53,0.0007318664400688394
workingday <= 0.5,5,53,0.0063011084419890995
hr <= 22.5,3,53,0.03139158264595479
hr <= 21.5,3,53,0.03830574113067502
temp <= 0.45000000298023224,2,53,0.026243755195289133
hr <= 20.5,2,53,0.016144134329557257
temp <= 0.4699999988079071,2,53,0.02760024066202454
temp <= 0.3100000023841858,2,53,0.02443568129887235
hr <= 19.5,2,53,0.00928813964054418
season <= 1.5,2,53,0.03354943814212805
temp <= 0.3700000047683716,1,53,0.028491202450389455
atemp <= 0.3409000039100647,1,53,0.019815743132214323
hum <= 0.8050000071525574,1,53,0.0071861286889289945
hum <= 0.8149999976158142,1,53,0.0033478511193936024
atemp <= 0.31059999763965607,1,53,0.00960463064191574
weathersit <= 2.5,1,53,0.02527149386848308
season <= 2.5,1,53,0.002877368285442843
temp <= 0.4299999922513962,1,53,0.00033455984720132044
hum <= 0.7450000047683716,1,53,0.005901208935473218
