binary_variable,tree_count,total_binary_variables,importance
ExternalRiskEstimate <= 70.5,4,60,0.13838595377407456
MSinceMostRecentInqexcl7days <= 1.5,3,60,0.024669956611832255
ExternalRiskEstimate <= 74.5,2,60,0.18646666049675362
ExternalRiskEstimate <= 67.5,2,60,0.03495369263243284
ExternalRiskEstimate <= 73.5,2,60,0.15125593993615088
ExternalRiskEstimate <= 78.5,2,60,0.045087400884685054
MSinceMostRecentInqexcl7days <= -7.5,2,60,0.045424332845144404
ExternalRiskEstimate <= 75.5,2,60,0.057482652282602076
MSinceMostRecentInqexcl7days <= 0.5,2,60,0.03924609414564571
ExternalRiskEstimate <= 81.5,1,60,0.007430600945104007
PercentTradesWBalance <= 73.5,1,60,0.009000473859674169
AverageMInFile <= 59.5,1,60,0.011476804327525477
ExternalRiskEstimate <= 80.5,1,60,0.006342573327686654
NetFractionRevolvingBurden <= 57.5,1,60,0.012894092299872092
PercentTradesWBalance <= 43.5,1,60,0.007012763565891042
AverageMInFile <= 63.5,1,60,0.01525939723152511
AverageMInFile <= 49.5,1,60,0.006797991524942885
PercentTradesWBalance <= 47.5,1,60,0.009642384865147319
