binary_variable,tree_count,total_binary_variables
texture_mean <= 14.990000247955322,7,19
texture_worst <= 26.350000381469727,7,19
area_mean <= 696.25,6,19
perimeter_worst <= 112.79999923706055,5,19
concave points_worst <= 0.16039999574422836,5,19
concave points_worst <= 0.1359499990940094,5,19
concavity_worst <= 0.20795000344514847,5,19
concave points_mean <= 0.05127999931573868,4,19
concave points_worst <= 0.14545000344514847,4,19
concave points_worst <= 0.14169999957084656,4,19
texture_worst <= 20.875,3,19
concave points_worst <= 0.18074999749660492,3,19
radius_worst <= 16.795000076293945,3,19
radius_worst <= 16.80500030517578,3,19
area_se <= 48.70000076293945,3,19
texture_mean <= 20.299999237060547,2,19
area_worst <= 768.1000061035156,1,19
