binary_variable,tree_count,total_binary_variables
perimeter_worst <= 112.79999923706055,5,74
area_mean <= 696.25,5,74
concave points_mean <= 0.05127999931573868,5,74
texture_mean <= 14.990000247955322,3,74
area_worst <= 810.5,3,74
texture_worst <= 26.28499984741211,3,74
concave points_worst <= 0.1359499990940094,3,74
concavity_worst <= 0.2248000055551529,3,74
concave points_worst <= 0.14169999957084656,2,74
concave points_worst <= 0.16029999405145645,2,74
texture_worst <= 24.869999885559082,2,74
texture_worst <= 25.515000343322754,2,74
concavity_worst <= 0.1981000006198883,2,74
texture_mean <= 20.299999237060547,2,74
area_se <= 13.929999828338623,2,74
area_worst <= 957.4500122070312,2,74
fractal_dimension_worst <= 0.06492000073194504,2,74
area_se <= 45.170000076293945,2,74
radius_worst <= 16.795000076293945,2,74
texture_mean <= 15.535000324249268,1,74
concavity_worst <= 0.20795000344514847,1,74
compactness_se <= 0.01717500016093254,1,74
concave points_worst <= 0.18074999749660492,1,74
area_worst <= 810.1000061035156,1,74
perimeter_worst <= 114.45000076293945,1,74
area_worst <= 733.7999877929688,1,74
concave points_worst <= 0.14559999853372574,1,74
concave points_worst <= 0.1376499980688095,1,74
smoothness_worst <= 0.1782499998807907,1,74
perimeter_worst <= 113.85000228881836,1,74
perimeter_worst <= 104.25,1,74
texture_worst <= 20.875,1,74
area_worst <= 929.8000183105469,1,74
area_se <= 48.70000076293945,1,74
texture_se <= 0.47314999997615814,1,74
concave points_mean <= 0.038484999909996986,1,74
perimeter_se <= 6.597499847412109,1,74
