binary_variable,tree_count,total_binary_variables,importance
age <= 22.5,7,93,0.11777914811358646
age <= 20.5,6,93,0.025348245022725684
priors_count <= 2.5,5,93,0.25090070351506794
age <= 33.5,5,93,0.04904666590111459
priors_count <= 7.5,5,93,0.02637437305285818
priors_count <= 8.5,4,93,0.013956593778005169
priors_count <= 1.5,4,93,0.12179127994605347
age <= 38.5,3,93,0.016822985126752472
sex=female <= 0.5,3,93,0.02299931500498537
age <= 36.5,3,93,0.021224397571773742
priors_count <= 0.5,3,93,0.03831876336695875
age <= 52.5,3,93,0.008137058603067165
age <= 24.5,3,93,0.03922054292467226
priors_count <= 9.0,2,93,0.013403371215719249
priors_count <= 5.5,2,93,0.018635177628285628
priors_count <= 15.5,2,93,0.008265528077394623
age <= 29.5,2,93,0.01568160860805431
age <= 34.5,1,93,0.009359510442414346
priors_count <= 9.5,1,93,0.00969530574148364
age <= 32.5,1,93,0.008300120945143348
priors_count <= 4.5,1,93,0.0071198325854310955
age <= 19.5,1,93,0.0073899654342912124
priors_count <= 3.5,1,93,0.022240414326101667
priors_count <= 13.5,1,93,0.003144410251793489
age <= 55.5,1,93,0.008080812070143746
