parameter,n_estimators,max_depth,feature,threshold,tree_count,total_binary_variables,importance
nest15_depth3,15,3,diag_3_250,0.5,3,33,0.051
nest15_depth3,15,3,number_inpatient,0.5,5,33,0.0477
nest15_depth3,15,3,num_lab_procedures,88.5,3,33,0.0424
nest15_depth3,15,3,race_?,0.5,3,33,0.04
nest15_depth3,15,3,gender_Male,0.5,2,33,0.0316
nest15_depth3,15,3,admission_source_id,4.5,2,33,0.0315
nest15_depth3,15,3,diag_2_781,0.5,3,33,0.0289
nest15_depth3,15,3,num_lab_procedures,47.5,1,33,0.0285
nest15_depth3,15,3,diag_3_599,0.5,1,33,0.0285
nest15_depth3,15,3,discharge_disposition_id,1.5,2,33,0.026
nest15_depth3,15,3,diag_1_428,0.5,1,33,0.0247
nest15_depth3,15,3,num_lab_procedures,50.5,1,33,0.0233
nest15_depth3,15,3,num_medications,9.5,2,33,0.0223
nest15_depth3,15,3,age_[80-90),0.5,2,33,0.0213
nest15_depth3,15,3,diag_2_250.6,0.5,2,33,0.0195
nest15_depth3,15,3,race_AfricanAmerican,0.5,2,33,0.0192
nest15_depth3,15,3,num_medications,17.5,2,33,0.017
nest15_depth3,15,3,glyburide_No,0.5,2,33,0.0157
nest15_depth3,15,3,repaglinide_No,0.5,1,33,0.0135
nest15_depth3,15,3,discharge_disposition_id,4.5,1,33,0.0134
nest15_depth3,15,3,diag_1_574,0.5,1,33,0.0117
nest15_depth3,15,3,num_lab_procedures,55.5,1,33,0.0113
nest15_depth3,15,3,gender_Female,0.5,2,33,0.0098
nest15_depth3,15,3,diag_3_682,0.5,2,33,0.008
nest15_depth3,15,3,diag_1_493,0.5,1,33,0.0072
nest20_depth1,20,1,num_medications,10.5,3,4,0.2782
nest20_depth1,20,1,num_medications,15.5,3,4,0.2661
nest20_depth1,20,1,time_in_hospital,7.5,2,4,0.2408
nest20_depth1,20,1,number_inpatient,1.5,2,4,0.215
nest20_depth2,20,2,num_medications,10.5,3,23,0.1139
nest20_depth2,20,2,time_in_hospital,7.5,4,23,0.1123
nest20_depth2,20,2,num_medications,15.5,2,23,0.1095
nest20_depth2,20,2,num_lab_procedures,95.5,4,23,0.1067
nest20_depth2,20,2,number_inpatient,1.5,2,23,0.0749
nest20_depth2,20,2,diag_3_250,0.5,2,23,0.0684
nest20_depth2,20,2,number_inpatient,0.5,3,23,0.0663
nest20_depth2,20,2,race_?,0.5,2,23,0.0515
nest20_depth2,20,2,num_lab_procedures,47.5,1,23,0.047
nest20_depth2,20,2,diag_2_250.6,0.5,1,23,0.0391
nest20_depth2,20,2,admission_source_id,4.5,1,23,0.0326
nest20_depth2,20,2,diag_2_781,0.5,1,23,0.028
nest20_depth2,20,2,gender_Female,0.5,1,23,0.0189
nest20_depth2,20,2,discharge_disposition_id,6.5,1,23,0.0184
nest20_depth2,20,2,age_[80-90),0.5,1,23,0.0105
nest20_depth2,20,2,diag_1_250.6,0.5,1,23,0.0104
nest20_depth3,20,3,num_medications,15.5,4,31,0.0867
nest20_depth3,20,3,time_in_hospital,7.5,6,31,0.0797
nest20_depth3,20,3,num_medications,10.5,4,31,0.0752
nest20_depth3,20,3,num_lab_procedures,95.5,5,31,0.0692
nest20_depth3,20,3,number_inpatient,0.5,5,31,0.0585
nest20_depth3,20,3,number_inpatient,1,4,31,0.0584
nest20_depth3,20,3,diag_3_250,0.5,3,31,0.053
nest20_depth3,20,3,discharge_disposition_id,1.5,3,31,0.0495
nest20_depth3,20,3,num_lab_procedures,88.5,3,31,0.0479
nest20_depth3,20,3,diag_3_599,0.5,2,31,0.047
nest20_depth3,20,3,race_?,0.5,3,31,0.0386
nest20_depth3,20,3,diag_2_781,0.5,3,31,0.0343
nest20_depth3,20,3,diag_2_250.6,0.5,1,31,0.0288
nest20_depth3,20,3,admission_source_id,4.5,2,31,0.0275
nest20_depth3,20,3,gender_Male,0.5,2,31,0.0275
nest20_depth3,20,3,diag_1_428,0.5,1,31,0.0235
nest20_depth3,20,3,age_[80-90),0.5,1,31,0.0194
nest20_depth3,20,3,metformin_Up,0.5,1,31,0.0182
nest20_depth3,20,3,num_lab_procedures,55.5,2,31,0.0173
nest20_depth3,20,3,num_medications,17.5,2,31,0.016
nest20_depth3,20,3,race_AfricanAmerican,0.5,2,31,0.0151
nest20_depth3,20,3,num_medications,9.5,1,31,0.0125
nest20_depth3,20,3,num_lab_procedures,50,1,31,0.0124
nest20_depth3,20,3,diag_2_250.12,0.5,1,31,0.0121
nest20_depth3,20,3,diag_3_682,0.5,3,31,0.0118
nest20_depth3,20,3,diag_1_574,0.5,1,31,0.0095
nest20_depth3,20,3,discharge_disposition_id,4.5,1,31,0.0072
nest25_depth1,25,1,num_medications,15.5,2,5,0.2238
nest25_depth1,25,1,num_medications,10.5,3,5,0.2104
nest25_depth1,25,1,time_in_hospital,7.5,2,5,0.2056
nest25_depth1,25,1,num_lab_procedures,95.5,1,5,0.1816
nest25_depth1,25,1,number_inpatient,1.5,2,5,0.1786
nest25_depth2,25,2,time_in_hospital,7.5,4,30,0.1104
nest25_depth2,25,2,num_lab_procedures,95.5,4,30,0.1045
nest25_depth2,25,2,num_medications,10.5,3,30,0.103
nest25_depth2,25,2,num_medications,15.5,2,30,0.0988
nest25_depth2,25,2,diag_3_250,0.5,2,30,0.0697
nest25_depth2,25,2,number_inpatient,1.5,2,30,0.0676
nest25_depth2,25,2,number_inpatient,0.5,3,30,0.0598
nest25_depth2,25,2,race_?,0.5,2,30,0.0463
nest25_depth2,25,2,num_lab_procedures,47.5,1,30,0.0424
nest25_depth2,25,2,diag_2_250.6,0.5,1,30,0.0352
nest25_depth2,25,2,admission_source_id,4.5,1,30,0.0294
nest25_depth2,25,2,diag_2_781,0.5,1,30,0.0253
nest25_depth2,25,2,gender_Female,0.5,1,30,0.0172
nest25_depth2,25,2,discharge_disposition_id,6.5,1,30,0.0096
nest25_depth2,25,2,age_[80-90),0.5,1,30,0.0095
nest25_depth2,25,2,diag_1_250.6,0.5,1,30,0.0093
nest25_depth3,25,3,time_in_hospital,7.5,4,37,0.0765
nest25_depth3,25,3,num_medications,15.5,3,37,0.0762
nest25_depth3,25,3,num_lab_procedures,95.5,6,37,0.067
nest25_depth3,25,3,num_medications,10.5,3,37,0.0636
nest25_depth3,25,3,diag_3_250,0.5,3,37,0.0515
nest25_depth3,25,3,num_lab_procedures,87.5,3,37,0.0448
nest25_depth3,25,3,race_?,0.5,3,37,0.0436
nest25_depth3,25,3,number_inpatient,0.5,4,37,0.0398
nest25_depth3,25,3,gender_Female,0.5,3,37,0.038
nest25_depth3,25,3,diag_2_781,0.5,5,37,0.0368
nest25_depth3,25,3,admission_source_id,4.5,2,37,0.0348
nest25_depth3,25,3,diag_3_599,0.5,2,37,0.0346
nest25_depth3,25,3,number_inpatient,1,2,37,0.0321
nest25_depth3,25,3,diag_2_250.6,0.5,2,37,0.0292
nest25_depth3,25,3,num_medications,9.5,2,37,0.0243
nest25_depth3,25,3,num_lab_procedures,47.5,1,37,0.0225
nest25_depth3,25,3,discharge_disposition_id,1.5,2,37,0.0215
nest25_depth3,25,3,diag_1_428,0.5,1,37,0.0204
nest25_depth3,25,3,age_[80-90),0.5,2,37,0.0202
nest25_depth3,25,3,num_medications,17.5,1,37,0.0193
nest25_depth3,25,3,num_lab_procedures,50,1,37,0.0192
nest25_depth3,25,3,num_medications,6.5,1,37,0.0177
nest25_depth3,25,3,number_inpatient,1.5,2,37,0.0172
nest25_depth3,25,3,repaglinide_No,0.5,1,37,0.0147
nest25_depth3,25,3,diag_1_574,0.5,1,37,0.0132
