parameter,n_estimators,max_depth,feature,threshold,tree_count,total_binary_variables,importance
nest15_depth2,15,2,word_freq_money,0.01,1,24,0.0154
nest15_depth2,15,2,word_freq_hp,0.12,2,24,0.0143
nest15_depth2,15,2,capital_run_length_total,68.5,1,24,0.0138
nest15_depth2,15,2,capital_run_length_average,3.741,1,24,0.0137
nest15_depth2,15,2,char_freq_$,0.0805,1,24,0.0108
nest15_depth2,15,2,word_freq_hp,0.22,1,24,0.0086
nest15_depth3,15,3,char_freq_!,0.0795,5,43,0.1854
nest15_depth3,15,3,char_freq_$,0.0555,2,43,0.1427
nest15_depth3,15,3,word_freq_remove,0.06,4,43,0.0756
nest15_depth3,15,3,char_freq_$,0.0445,1,43,0.0742
nest15_depth3,15,3,char_freq_$,0.0295,2,43,0.0556
nest15_depth3,15,3,word_freq_remove,0.045,6,43,0.0498
nest15_depth3,15,3,word_freq_hp,0.385,6,43,0.0468
nest15_depth3,15,3,char_freq_!,0.5085,3,43,0.0433
nest15_depth3,15,3,word_freq_remove,0.055,1,43,0.041
nest15_depth3,15,3,word_freq_your,0.605,1,43,0.0251
nest15_depth3,15,3,word_freq_hp,0.23,3,43,0.0242
nest15_depth3,15,3,word_freq_free,0.215,2,43,0.0223
nest15_depth3,15,3,capital_run_length_longest,17.5,1,43,0.021
nest15_depth3,15,3,capital_run_length_average,2.3995,1,43,0.0149
nest15_depth3,15,3,word_freq_edu,0.165,2,43,0.0133
nest15_depth3,15,3,word_freq_money,0.01,3,43,0.0126
nest15_depth3,15,3,capital_run_length_average,2.292,1,43,0.0105
nest15_depth3,15,3,word_freq_your,0.375,2,43,0.0103
nest15_depth3,15,3,word_freq_free,0.105,2,43,0.0101
nest15_depth3,15,3,word_freq_george,0.04,3,43,0.0101
nest15_depth3,15,3,word_freq_free,0.115,1,43,0.0092
nest15_depth3,15,3,capital_run_length_total,68.5,1,43,0.0091
nest15_depth3,15,3,capital_run_length_average,2.7545,1,43,0.0067
nest15_depth3,15,3,word_freq_edu,0.49,3,43,0.0063
nest15_depth3,15,3,word_freq_george,0.08,3,43,0.005
nest15_depth3,15,3,char_freq_$,0.164,1,43,0.0045
nest15_depth3,15,3,word_freq_george,0.025,1,43,0.004
nest15_depth3,15,3,char_freq_$,0.0805,1,43,0.0039
nest15_depth3,15,3,word_freq_email,0.285,2,43,0.0026
nest15_depth3,15,3,word_freq_free,0.63,1,43,0.0025
nest15_depth3,15,3,word_freq_george,0.14,2,43,0.0022
nest15_depth3,15,3,word_freq_1999,0.095,1,43,0.002
nest15_depth3,15,3,word_freq_edu,0.185,1,43,0.0013
nest20_depth1,20,1,char_freq_!,0.0795,3,11,0.2289
nest20_depth1,20,1,char_freq_$,0.0555,1,11,0.1583
nest20_depth1,20,1,word_freq_remove,0.01,2,11,0.1531
nest20_depth1,20,1,word_freq_free,0.135,1,11,0.0907
nest20_depth1,20,1,char_freq_$,0.0445,1,11,0.0897
nest20_depth1,20,1,word_freq_your,0.605,1,11,0.0683
nest20_depth1,20,1,char_freq_$,0.0295,1,11,0.0626
nest20_depth2,20,2,char_freq_!,0.0795,4,29,0.2013
nest20_depth2,20,2,char_freq_$,0.0555,2,29,0.1594
nest20_depth2,20,2,word_freq_remove,0.055,2,29,0.0738
nest20_depth2,20,2,word_freq_remove,0.045,2,29,0.0564
nest20_depth2,20,2,word_freq_free,0.025,1,29,0.051
nest20_depth2,20,2,char_freq_$,0.0395,1,29,0.0469
nest20_depth2,20,2,char_freq_$,0.0295,2,29,0.0452
nest20_depth2,20,2,word_freq_hp,0.12,2,29,0.0307
nest20_depth2,20,2,capital_run_length_longest,17.5,1,29,0.0242
nest20_depth2,20,2,word_freq_hp,0.385,2,29,0.0231
nest20_depth2,20,2,word_freq_free,0.195,1,29,0.0226
nest20_depth2,20,2,word_freq_your,0.605,1,29,0.0222
nest20_depth2,20,2,word_freq_hp,0.4,2,29,0.0189
nest20_depth2,20,2,capital_run_length_average,2.3995,1,29,0.0177
nest20_depth2,20,2,word_freq_remove,0.065,1,29,0.0167
nest20_depth2,20,2,word_freq_money,0.01,1,29,0.0141
nest20_depth2,20,2,capital_run_length_total,68.5,1,29,0.0127
nest20_depth2,20,2,capital_run_length_average,3.741,1,29,0.0125
nest20_depth2,20,2,char_freq_$,0.0805,1,29,0.0099
nest20_depth2,20,2,word_freq_hp,0.22,1,29,0.0079
nest20_depth3,20,3,char_freq_!,0.0795,5,73,0.1718
nest20_depth3,20,3,char_freq_$,0.0555,2,73,0.1322
nest20_depth3,20,3,word_freq_remove,0.06,4,73,0.1098
nest20_depth3,20,3,char_freq_$,0.0445,1,73,0.0687
nest20_depth3,20,3,char_freq_$,0.0295,2,73,0.0515
nest20_depth3,20,3,word_freq_remove,0.045,6,73,0.0414
nest20_depth3,20,3,char_freq_!,0.5085,2,73,0.0399
nest20_depth3,20,3,word_freq_hp,0.385,4,73,0.0333
nest20_depth3,20,3,word_freq_your,0.605,1,73,0.0222
nest20_depth3,20,3,word_freq_free,0.215,2,73,0.0207
nest20_depth3,20,3,capital_run_length_longest,17.5,1,73,0.0194
nest20_depth3,20,3,word_freq_free,0.115,2,73,0.0163
nest20_depth3,20,3,word_freq_hp,0.23,2,73,0.0159
nest20_depth3,20,3,word_freq_money,0.01,3,73,0.0145
nest20_depth3,20,3,capital_run_length_average,2.3995,1,73,0.0138
nest20_depth3,20,3,capital_run_length_average,2.292,1,73,0.0098
nest20_depth3,20,3,word_freq_your,0.375,2,73,0.0096
nest20_depth3,20,3,capital_run_length_total,68.5,1,73,0.0084
nest20_depth3,20,3,word_freq_edu,0.165,1,73,0.008
nest20_depth3,20,3,word_freq_hp,0.22,1,73,0.0065
nest20_depth3,20,3,capital_run_length_average,2.7545,1,73,0.0062
nest20_depth3,20,3,word_freq_george,0.02,1,73,0.0058
nest20_depth3,20,3,word_freq_hp,0.4,1,73,0.0056
nest20_depth3,20,3,char_freq_$,0.0805,1,73,0.0055
nest20_depth3,20,3,word_freq_remove,0.055,2,73,0.0054
nest20_depth3,20,3,word_freq_edu,0.49,2,73,0.0049
nest20_depth3,20,3,word_freq_george,0.005,2,73,0.0048
nest20_depth3,20,3,word_freq_hp,0.39,1,73,0.0047
nest20_depth3,20,3,char_freq_$,0.164,1,73,0.0041
nest20_depth3,20,3,word_freq_george,0.08,2,73,0.0041
nest20_depth3,20,3,word_freq_george,0.025,1,73,0.0039
nest20_depth3,20,3,word_freq_edu,0.2,1,73,0.0034
nest20_depth3,20,3,word_freq_george,0.04,1,73,0.0028
nest20_depth3,20,3,word_freq_free,0.63,1,73,0.0023
nest20_depth3,20,3,word_freq_george,0.14,2,73,0.0022
nest20_depth3,20,3,word_freq_edu,0.175,1,73,0.0021
nest20_depth3,20,3,word_freq_1999,0.095,1,73,0.0018
nest20_depth3,20,3,word_freq_free,0.105,1,73,0.0016
nest20_depth3,20,3,char_freq_!,0.55,1,73,0.0014
nest20_depth3,20,3,word_freq_meeting,0.48,1,73,0.0011
nest20_depth3,20,3,word_freq_email,0.285,1,73,0.0009
nest25_depth1,25,1,char_freq_!,0.0795,3,14,0.2246
nest25_depth1,25,1,word_freq_remove,0.01,2,14,0.1576
nest25_depth1,25,1,char_freq_$,0.0555,1,14,0.146
nest25_depth1,25,1,word_freq_free,0.135,1,14,0.0837
nest25_depth1,25,1,char_freq_$,0.0445,1,14,0.0828
nest25_depth1,25,1,word_freq_your,0.605,1,14,0.063
nest25_depth1,25,1,char_freq_$,0.0295,1,14,0.0577
nest25_depth2,25,2,char_freq_!,0.0795,4,39,0.1911
nest25_depth2,25,2,char_freq_$,0.0555,2,39,0.1513
nest25_depth2,25,2,word_freq_remove,0.055,3,39,0.086
nest25_depth2,25,2,word_freq_free,0.025,1,39,0.0484
nest25_depth2,25,2,char_freq_$,0.0395,1,39,0.0445
nest25_depth2,25,2,char_freq_$,0.0295,2,39,0.0429
nest25_depth2,25,2,word_freq_remove,0.045,2,39,0.0403
nest25_depth2,25,2,word_freq_hp,0.12,2,39,0.0329
nest25_depth2,25,2,word_freq_hp,0.385,3,39,0.0311
nest25_depth2,25,2,capital_run_length_longest,17.5,1,39,0.023
nest25_depth2,25,2,word_freq_free,0.195,1,39,0.0214
nest25_depth2,25,2,word_freq_your,0.605,1,39,0.0211
nest25_depth2,25,2,capital_run_length_average,2.3995,1,39,0.0168
nest25_depth2,25,2,word_freq_money,0.01,1,39,0.0134
nest25_depth2,25,2,capital_run_length_total,68.5,1,39,0.012
nest25_depth2,25,2,capital_run_length_average,3.741,1,39,0.0119
nest25_depth2,25,2,word_freq_hp,0.22,1,39,0.0116
nest25_depth2,25,2,word_freq_hp,0.4,1,39,0.0105
nest25_depth2,25,2,char_freq_$,0.0805,1,39,0.0094
nest25_depth3,25,3,char_freq_!,0.0795,5,75,0.1655
nest25_depth3,25,3,char_freq_$,0.0555,2,75,0.1274
nest25_depth3,25,3,word_freq_remove,0.06,6,75,0.1038
nest25_depth3,25,3,char_freq_$,0.0445,1,75,0.0662
nest25_depth3,25,3,char_freq_$,0.0295,2,75,0.0497
nest25_depth3,25,3,word_freq_remove,0.045,4,75,0.0441
nest25_depth3,25,3,word_freq_hp,0.385,4,75,0.027
nest25_depth3,25,3,char_freq_!,0.5085,2,75,0.0258
nest25_depth3,25,3,word_freq_your,0.605,1,75,0.0214
nest25_depth3,25,3,word_freq_free,0.215,2,75,0.02
nest25_depth3,25,3,capital_run_length_longest,17.5,1,75,0.0187
nest25_depth3,25,3,word_freq_free,0.115,2,75,0.0157
nest25_depth3,25,3,char_freq_!,0.5065,1,75,0.0155
nest25_depth3,25,3,word_freq_hp,0.39,2,75,0.015
nest25_depth3,25,3,word_freq_money,0.01,3,75,0.014
nest25_depth3,25,3,capital_run_length_average,2.3995,1,75,0.0133
nest25_depth3,25,3,word_freq_hp,0.22,2,75,0.0128
nest25_depth3,25,3,word_freq_george,0.005,1,75,0.0115
nest25_depth3,25,3,word_freq_hp,0.23,1,75,0.0107
nest25_depth3,25,3,word_freq_edu,0.165,1,75,0.0102
nest25_depth3,25,3,capital_run_length_average,2.292,1,75,0.0094
nest25_depth3,25,3,word_freq_your,0.375,2,75,0.0092
nest25_depth3,25,3,capital_run_length_total,68.5,1,75,0.0081
nest25_depth3,25,3,word_freq_george,0.08,3,75,0.007
nest25_depth3,25,3,word_freq_edu,0.49,2,75,0.0061
nest25_depth3,25,3,capital_run_length_average,2.7545,1,75,0.0059
nest25_depth3,25,3,char_freq_$,0.0805,1,75,0.0053
nest25_depth3,25,3,word_freq_remove,0.145,1,75,0.0042
nest25_depth3,25,3,char_freq_$,0.164,1,75,0.0041
nest25_depth3,25,3,word_freq_george,0.02,2,75,0.0039
nest25_depth3,25,3,word_freq_edu,0.185,2,75,0.0038
nest25_depth3,25,3,word_freq_george,0.04,2,75,0.0036
nest25_depth3,25,3,word_freq_george,0.14,1,75,0.0033
nest25_depth3,25,3,word_freq_free,0.63,1,75,0.0022
nest25_depth3,25,3,word_freq_email,0.285,2,75,0.002
nest25_depth3,25,3,word_freq_1999,0.095,1,75,0.0018
nest25_depth3,25,3,word_freq_free,0.105,1,75,0.0015
nest25_depth3,25,3,word_freq_meeting,0.48,1,75,0.001
nest30_depth1,30,1,char_freq_!,0.0795,3,16,0.2127
nest30_depth1,30,1,word_freq_remove,0.01,2,16,0.1587
nest30_depth1,30,1,char_freq_$,0.0555,1,16,0.1383
nest30_depth1,30,1,word_freq_free,0.135,1,16,0.0792
nest30_depth1,30,1,char_freq_$,0.0445,1,16,0.0784
nest30_depth1,30,1,word_freq_your,0.605,1,16,0.0597
nest30_depth1,30,1,char_freq_$,0.0295,1,16,0.0547
nest30_depth2,30,2,char_freq_!,0.0795,4,24,0.1857
nest30_depth2,30,2,char_freq_$,0.0555,3,24,0.156
nest30_depth2,30,2,word_freq_remove,0.055,3,24,0.0872
nest30_depth2,30,2,word_freq_free,0.025,1,24,0.051
nest30_depth2,30,2,word_freq_remove,0.045,2,24,0.0503
nest30_depth2,30,2,word_freq_hp,0.12,2,24,0.0471
nest30_depth2,30,2,word_freq_hp,0.385,5,24,0.0433
nest30_depth2,30,2,char_freq_$,0.0395,1,24,0.0433
nest30_depth2,30,2,char_freq_$,0.0295,2,24,0.0415
nest30_depth2,30,2,capital_run_length_longest,17.5,1,24,0.0223
nest30_depth2,30,2,word_freq_free,0.195,1,24,0.0208
nest30_depth2,30,2,word_freq_your,0.605,1,24,0.0205
nest30_depth2,30,2,capital_run_length_average,2.3995,1,24,0.0192
nest30_depth2,30,2,capital_run_length_total,68.5,1,24,0.0169
nest30_depth2,30,2,capital_run_length_average,3.741,1,24,0.0168
nest30_depth2,30,2,word_freq_money,0.01,1,24,0.0159
nest30_depth3,30,3,char_freq_!,0.0795,5,79,0.1621
nest30_depth3,30,3,char_freq_$,0.0555,2,79,0.1246
nest30_depth3,30,3,word_freq_remove,0.055,5,79,0.1062
nest30_depth3,30,3,char_freq_$,0.0445,1,79,0.0648
nest30_depth3,30,3,char_freq_$,0.0295,2,79,0.0486
nest30_depth3,30,3,word_freq_remove,0.045,6,79,0.0392
nest30_depth3,30,3,char_freq_!,0.5085,3,79,0.0385
nest30_depth3,30,3,word_freq_hp,0.39,4,79,0.0222
