binary_variable,tree_count,total_binary_variables,importance
char_freq_! <= 0.079500000923872,5,600,0.14701545912796493
word_freq_remove <= 0.05999999865889549,4,600,0.05466326695630191
word_freq_remove <= 0.044999999925494194,4,600,0.032857448624351554
word_freq_hp <= 0.38499999046325684,3,600,0.02772374546585955
word_freq_george <= 0.019999999552965164,3,600,0.009212452758660453
word_freq_money <= 0.009999999776482582,3,600,0.012775950549296582
char_freq_$ <= 0.05550000071525574,2,600,0.11321802386821288
word_freq_edu <= 0.48999999463558197,2,600,0.005064025975774617
word_freq_george <= 0.1899999976158142,2,600,0.004186601888693317
word_freq_remove <= 0.054999999701976776,2,600,0.027520488515213777
word_freq_hp <= 0.3999999910593033,2,600,0.0068376860435373134
word_freq_free <= 0.11499999836087227,2,600,0.014058331732060933
word_freq_free <= 0.2149999961256981,2,600,0.01771743415390053
word_freq_your <= 0.375,2,600,0.0081813608265273
char_freq_$ <= 0.02949999924749136,2,600,0.04416007485047871
word_freq_hp <= 0.2199999988079071,2,600,0.012989320882310279
word_freq_email <= 0.28499999456107616,1,600,0.001063191716820765
char_freq_! <= 0.5065000057220459,1,600,0.018106650028926592
char_freq_$ <= 0.04450000077486038,1,600,0.05885358363905942
word_freq_edu <= 0.17499999701976776,1,600,0.003691429146095645
char_freq_! <= 0.5084999799728394,1,600,0.01688085198153395
capital_run_length_longest <= 17.5,1,600,0.016636305766340276
word_freq_email <= 0.35500000417232513,1,600,0.0007099835433169019
word_freq_george <= 0.004999999888241291,1,600,0.010433504494815053
capital_run_length_average <= 2.399500012397766,1,600,0.011903810099377457
word_freq_hp <= 0.39000000059604645,1,600,0.003568056429315055
word_freq_george <= 0.03999999910593033,1,600,0.004505589896123429
char_freq_$ <= 0.164000004529953,1,600,0.0035366146864233895
char_freq_! <= 0.5225000083446503,1,600,0.000798381843863315
word_freq_edu <= 0.17999999597668648,1,600,0.0016966874860628045
word_freq_remove <= 0.07500000298023224,1,600,0.016905295734988647
word_freq_george <= 0.07999999821186066,1,600,0.0008636925642957938
capital_run_length_average <= 2.291999936103821,1,600,0.008399309336343802
word_freq_your <= 0.5999999940395355,1,600,0.0033215845318139686
word_freq_george <= 0.02500000037252903,1,600,0.0007604171691792873
capital_run_length_total <= 68.5,1,600,0.007191367602501084
word_freq_hp <= 0.22999999672174454,1,600,0.008898624326443836
word_freq_free <= 0.6299999952316284,1,600,0.002044030816851467
word_freq_edu <= 0.1850000023841858,1,600,0.0011214591674949639
word_freq_1999 <= 0.09499999694526196,1,600,0.0020900459790165775
capital_run_length_average <= 2.7545000314712524,1,600,0.0052836442491949265
word_freq_meeting <= 0.4749999940395355,1,600,0.001833389711046438
char_freq_$ <= 0.08050000295042992,1,600,0.004722986972964557
word_freq_free <= 0.10500000044703484,1,600,0.0013580702912366648
