split,nest5_depth1,nest5_depth2,nest5_depth3,nest10_depth1,nest10_depth2,nest10_depth3,nest15_depth1,nest15_depth2,nest15_depth3,nest20_depth1,nest20_depth2,nest20_depth3,nest25_depth1,nest25_depth2,nest25_depth3,nest30_depth1,nest30_depth2,nest30_depth3,nest35_depth1,nest35_depth2,nest35_depth3,nest40_depth1,nest40_depth2,nest40_depth3,nest100_depth1,nest100_depth2,nest100_depth3,nest200_depth1,nest200_depth2,nest200_depth3
perimeter_worst <= 104.25,,,,,,,,,,,,,,,,,,0.0052,,,0.0052,,,0.0043,,,,,,
perimeter_worst <= 112.8,0.4158,0.2488,0.7027,0.5902,0.1787,0.5622,0.217,0.1749,0.5041,0.2055,0.1666,0.4336,0.2,0.1625,0.4723,0.1965,0.1601,0.4666,0.1947,0.1583,0.4631,0.193,0.1574,0.4599,0.186,0.1534,0.4715,0.1839,0.1709,0.414
perimeter_worst <= 113.85,,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,,
perimeter_worst <= 114.45,,0.174,0.1015,,0.1177,0.0747,0.0847,0.1049,0.0663,0.0802,0.1,0.0632,0.0781,0.0975,0.0619,0.0767,0.0961,0.0609,0.076,0.095,0.0607,0.0754,0.0944,0.0609,0.0726,0.0921,,0.0718,0.0933,
radius_worst <= 16.795,0.1945,0.3437,,,0.1671,0.0349,0.2038,0.1086,0.0469,0.193,0.1679,0.1696,0.1878,0.0044,0.0034,0.1845,0.2116,0.0441,0.1858,0.2194,0.0285,0.1813,0.2817,0.0257,0.1746,0.1232,0.0859,0.1727,0.2836,0.135
radius_worst <= 16.805,,,,,0.1446,,,0.1918,,,0.1274,,,0.2835,0.0489,,0.0738,0.0075,,0.0629,0.0246,,,,,0.1517,,,,0.1029
smoothness_se <= 0.0033,,,,,,,,,,,,,,,,,,,,,0.0006,,,,,,,,,
smoothness_worst <= 0.1782,,,,,,0.0063,,,0.007,,,,,,0.0081,,,0.0079,,,0.0083,,,0.0082,,,,,0.0089,
texture_mean <= 14.955,,,0.0115,,,0.0133,,0.0105,0.0101,,0.0161,0.0168,,0.0157,0.0097,,0.0155,0.0099,,0.0153,0.0097,,0.0152,,,0.0151,,,,
texture_mean <= 14.99,,0.028,,,0.019,,,0.0064,,,,,,,,,,,,,,,,0.0098,,,0.0219,,0.0212,0.0222
texture_mean <= 15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,
texture_mean <= 15.535,,,,,,,,,,,,,,,0.0054,,,,,,0.0053,,,0.0052,,,,,,
texture_mean <= 15.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0116,
texture_mean <= 16.78,,,0.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,
texture_mean <= 18.495,,,,,,,,,0.0027,,,,,,0.0038,,,,,,0.0063,,,,,,,,,
texture_mean <= 19.545,,,,,,,,,,,,,,,,,,0.0035,,,,,,,,,,,,
texture_mean <= 20.3,,,,,,0.0042,,,0.005,,,,,,0.0031,,,0.0031,,,0.0038,,,0.0046,,,,,,0.0177
texture_se <= 0.4731,,,,,0.0053,,,0.0047,0.0038,,0.0058,,,0.0056,0.004,,0.0056,0.0041,,0.0055,0.0041,,0.0055,0.004,,0.0053,,,,
texture_worst <= 20.875,,,,,,0.0104,,,0.0066,,,0.0094,,,0.0019,,,0.008,,,0.0022,,,0.0021,,,,,,0.0138
texture_worst <= 21.795,,,,,,,,,,,,,,,,,,,,,0.0019,,,,,,,,,
texture_worst <= 23.86,,,,,,,,0.0032,,,0.003,,,0.0029,,,0.0029,,,0.0029,,,0.0029,,,0.0028,,,,
texture_worst <= 24.785,,,0.006,,,0.0083,,,0.0055,,,0.0071,,,0.0055,,,,,,,,,,,,,,,
texture_worst <= 24.87,,,,,,,,,,,,,,,,,,0.0069,,,,,,0.0057,,,,,,
texture_worst <= 25.515,,,,,,,,,,,,,,,,,,,,,0.007,,,0.0051,,,,,,
texture_worst <= 25.89,,,,,,,,,,,,,,,0.0068,,,,,,,,,,,,,,,
texture_worst <= 26.285,,,0.0225,,,0.017,,,0.0161,,,0.0323,,,0.008,,,0.0145,,,0.0115,,,0.0107,,,,,,
texture_worst <= 26.35,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0255,,,0.0273
texture_worst <= 29.795,,,,,,,,,,,,0.0089,,,0.0041,,,,,,,,,,,,,,,
