split,nest5_depth1,nest5_depth2,nest5_depth3,nest10_depth1,nest10_depth2,nest10_depth3,nest15_depth1,nest15_depth2,nest15_depth3,nest20_depth1,nest20_depth2,nest20_depth3,nest25_depth1,nest25_depth2,nest25_depth3,nest30_depth1,nest30_depth2,nest30_depth3,nest35_depth1,nest35_depth2,nest35_depth3,nest40_depth1,nest40_depth2,nest40_depth3,nest100_depth1,nest100_depth2,nest100_depth3,nest200_depth1,nest200_depth2,nest200_depth3
num_medications <= 10.5,0.3953,,0.1277,0.459,0.1556,0.094,0.2879,0.123,0.0763,0.2782,0.1139,0.0752,0.2104,0.103,0.0636,0.1828,0.0939,0.0625,0.1463,0.0879,0.057,,,,,,,,,
num_medications <= 15.5,0.6047,0.6486,0.1494,0.541,0.1406,0.1018,0.2773,0.1294,0.0876,0.2661,0.1095,0.0867,0.2238,0.0988,0.0762,0.1787,0.1009,0.0748,0.1796,0.095,0.0719,,,,,,,,,
num_medications <= 17.5,,,,,,0.0125,,,0.017,,,0.016,,,0.0193,,,0.013,,,0.0129,,,,,,,,,
num_medications <= 25.5,,,,,,,,,,,,,,,,,,,,,0.0074,,,,,,,,,
num_medications <= 6.5,,,,,,,,,,,,,,,0.0177,,,0.0093,,,0.0131,,,,,,,,,
num_medications <= 9.5,,,0.0204,,,0.0289,,,0.0223,,,0.0125,,,0.0243,,,0.0175,,,0.0171,,,,,,,,,
number_diagnoses <= 5.5,,,,,,,,,,,,,,,,,,,,,,,0.0538,0.0424,,0.0457,0.0359,,0.0416,0.033
number_diagnoses <= 6.5,,,,,,,,,,,,,,,,,,,,,,,0.022,0.0205,,0.0189,0.0175,,0.0173,0.0159
number_emergency <= 0.5,,,,,,,,,,,,,,,,,,,,,,0.0824,0.0556,0.0464,0.0636,0.0478,0.0398,0.0563,0.0437,0.0367
number_emergency <= 1.5,,,,,,,,,,,,,,,,,,,,,,,,0.0045,,,0.0054,,,0.0052
number_inpatient <= 0.5,,,0.0707,,0.0992,0.0619,,0.0783,0.0477,,0.0663,0.0585,,0.0598,0.0398,,0.0642,0.0371,,0.0599,0.0349,0.4871,0.4103,0.4124,0.3965,0.3502,0.349,0.3465,0.3197,0.3189
number_inpatient <= 1,,,,,,,,,,,,0.0584,,,0.0321,,,0.0388,,,0.0336,,,,,,,,,
