binary_variable,tree_count,total_binary_variables,importance
radius_worst <= 16.795000076293945,4,40,0.28167810013626254
concave points_mean <= 0.05127999931573868,4,40,0.14866279325395607
texture_mean <= 14.954999923706055,3,40,0.015239924486363713
concave points_worst <= 0.14169999957084656,3,40,0.060149338278897874
concave points_worst <= 0.16029999405145645,2,40,0.02105355267195724
concavity_worst <= 0.2248000055551529,2,40,0.011123109805450221
area_mean <= 696.25,2,40,0.008209988657984375
perimeter_worst <= 112.79999923706055,1,40,0.15736017024490895
perimeter_worst <= 114.45000076293945,1,40,0.09444409770512742
concave points_worst <= 0.17629999667406082,1,40,0.016053320573924446
texture_se <= 0.47314999997615814,1,40,0.005461697240270088
area_worst <= 957.4500122070312,1,40,0.004560311087843314
area_worst <= 710.2000122070312,1,40,0.005446804797510121
concave points_mean <= 0.05591999925673008,1,40,0.04104595961406944
texture_worst <= 23.859999656677246,1,40,0.0028566603162619966
area_se <= 34.404998779296875,1,40,0.01015795293811692
concavity_se <= 0.13565000146627426,1,40,0.006458172897645939
