model,depth_budget,lambda_reg,rashomon_mult,accuracy,macro_f1,ensemble_accuracy,n_leaves,n_nodes,n_trees_in_set,duration
LicketyRESPLIT,5,0.01,0.01,0.7882736156351792,0.77,0.7871878393051032,5,9,691,0.67
LicketyRESPLIT,5,0.01,0.05,0.7882736156351792,0.77,0.7871878393051032,5,9,384539,10.99
LicketyRESPLIT,3,0.01,0.01,0.7871878393051032,0.77,0.7785016286644951,5,9,3,0.02
LicketyRESPLIT,3,0.01,0.05,0.7871878393051032,0.77,0.7795874049945711,5,9,1076,0.02
LicketyRESPLIT,3,0.05,0.01,0.738327904451683,0.72,0.738327904451683,2,3,1,0.02
LicketyRESPLIT,3,0.05,0.05,0.738327904451683,0.72,0.738327904451683,2,3,1,0.02
LicketyRESPLIT,5,0.05,0.01,0.738327904451683,0.72,0.738327904451683,2,3,1,0.08
LicketyRESPLIT,5,0.05,0.05,0.738327904451683,0.72,0.738327904451683,2,3,1,0.08
