model,depth_budget,regularization,accuracy,macro_f1,training_accuracy,n_leaves,n_nodes,duration
Threshold Guessing,5,0.001,0.9022801302931596,0.9,0.9192934782608696,13,25,4.53
Threshold Guessing,5,0.01,0.8935939196525515,0.89,0.9095108695652174,6,11,1.05
Threshold Guessing,3,0.001,0.8870792616720955,0.88,0.90625,7,13,0.07
Threshold Guessing,3,0.01,0.8827361563517915,0.88,0.9019021739130435,6,11,0.05
