binary_variable,tree_count,total_binary_variables,importance
M92287_at <= -0.4572294354438782,4,3,0.33919039395910255
M23197_at <= 0.30462484061717987,3,3,0.3267713304852146
X95735_at <= 0.4244992882013321,3,3,0.3340382755556828
