model,depth_budget,lambda_reg,rashomon_mult,accuracy,macro_f1,ensemble_accuracy,n_leaves,n_nodes,n_trees_in_set,duration
LicketyRESPLIT,3,0.01,0.01,0.6067318757192175,0.61,0.6067318757192175,3,5,2,0.0
LicketyRESPLIT,3,0.01,0.05,0.6067318757192175,0.61,0.6067318757192175,3,5,1108,0.0
LicketyRESPLIT,5,0.01,0.01,0.6067318757192175,0.61,0.6067318757192175,3,5,2,0.0
LicketyRESPLIT,5,0.01,0.05,0.6067318757192175,0.61,0.6067318757192175,3,5,2184,0.02
LicketyRESPLIT,3,0.05,0.01,0.5888952819332566,0.59,0.5888952819332566,2,3,1,0.0
LicketyRESPLIT,3,0.05,0.05,0.5888952819332566,0.59,0.5888952819332566,2,3,1,0.0
LicketyRESPLIT,5,0.05,0.01,0.5888952819332566,0.59,0.5888952819332566,2,3,1,0.0
LicketyRESPLIT,5,0.05,0.05,0.5888952819332566,0.59,0.5888952819332566,2,3,1,0.0
