model,depth_budget,regularization,accuracy,macro_f1,training_accuracy,n_leaves,n_nodes,duration
Threshold Guessing,3,0.001,0.8512658227848101,0.85,0.852765590160397,5,9,0.13
Threshold Guessing,5,0.001,0.8512658227848101,0.85,0.8583758900956628,7,13,3.72
Threshold Guessing,3,0.01,0.8472382048331415,0.85,0.8485938286700712,4,7,0.09
Threshold Guessing,5,0.01,0.8472382048331415,0.85,0.8485938286700712,4,7,0.88
