model,max_depth,n_estimators,accuracy,macro_f1,n_trees,total_leaves,total_nodes,avg_leaves_per_tree,duration
XGBoost,5,50,0.9283659378596087,0.93,50,1293,2536,25.86,0.09
XGBoost,5,25,0.8964326812428078,0.9,25,609,1193,24.36,0.05
XGBoost,3,50,0.89614499424626,0.9,50,385,720,7.7,0.06
XGBoost,3,25,0.8829113924050633,0.88,25,189,353,7.56,0.05
