depth_budget,lambda_reg,rashomon_mult,accuracy,ensemble_accuracy,n_leaves,n_nodes,n_trees_in_set,duration
5,0.01,0.05,0.6491228070175439,0.6491228070175439,2,3,37,0.0
3,0.01,0.05,0.6491228070175439,0.6491228070175439,2,3,37,0.0
5,0.01,0.01,0.6491228070175439,0.6491228070175439,2,3,1,0.0
3,0.01,0.01,0.6491228070175439,0.6491228070175439,2,3,1,0.0
5,0.05,0.01,0.631578947368421,0.6491228070175439,1,1,2,0.0
3,0.05,0.01,0.631578947368421,0.6491228070175439,1,1,2,0.0
5,0.05,0.05,0.631578947368421,0.6491228070175439,1,1,2,0.0
3,0.05,0.05,0.631578947368421,0.6491228070175439,1,1,2,0.0
