model,best_accuracy,params
LicketyRESPLIT,0.6491228070175439,"d=3, λ=0.01, ρ=0.01"
LicketyRESPLIT (Threshold Guessing),0.956140350877193,"d=None, λ=None, ρ=None"
GOSDT (Threshold Guessing),0.9473684210526315,"d=3, reg=0.001"
XGBoost,0.9736842105263158,"depth=5, n=50"
