model,depth_budget,lambda_reg,rashomon_mult,accuracy,macro_f1,ensemble_accuracy,n_leaves,n_nodes,n_trees_in_set,duration
LicketyRESPLIT,3,0.01,0.01,0.6491228070175439,0.44,0.6491228070175439,2,3,1,0.0
LicketyRESPLIT,3,0.01,0.05,0.6491228070175439,0.44,0.6491228070175439,2,3,33,0.0
LicketyRESPLIT,5,0.01,0.01,0.6491228070175439,0.44,0.6491228070175439,2,3,1,0.0
LicketyRESPLIT,5,0.01,0.05,0.6491228070175439,0.44,0.6491228070175439,2,3,33,0.0
LicketyRESPLIT,3,0.05,0.01,0.631578947368421,0.39,0.6491228070175439,1,1,2,0.0
LicketyRESPLIT,3,0.05,0.05,0.631578947368421,0.39,0.6491228070175439,1,1,2,0.0
LicketyRESPLIT,5,0.05,0.01,0.631578947368421,0.39,0.6491228070175439,1,1,2,0.0
LicketyRESPLIT,5,0.05,0.05,0.631578947368421,0.39,0.6491228070175439,1,1,2,0.0
