model,max_depth,n_estimators,accuracy,macro_f1,n_trees,total_leaves,total_nodes,avg_leaves_per_tree,duration
XGBoost,5,50,0.9736842105263158,0.97,50,447,844,8.94,0.08
XGBoost,3,25,0.9649122807017544,0.96,25,179,333,7.16,0.03
XGBoost,3,50,0.9649122807017544,0.96,50,322,594,6.44,0.06
XGBoost,5,25,0.9649122807017544,0.96,25,264,503,10.56,0.04
