binary_variable,tree_count,total_binary_variables,importance
texture_worst <= 26.350000381469727,9,20,0.02552630147941119
concave points_mean <= 0.05127999931573868,8,20,0.16209538773697602
perimeter_worst <= 112.79999923706055,7,20,0.4715304230228637
texture_mean <= 14.990000247955322,6,20,0.02191222924617073
area_mean <= 696.25,5,20,0.014649557693530461
concave points_worst <= 0.18074999749660492,4,20,0.02086485579071336
concave points_worst <= 0.16039999574422836,4,20,0.02664503528620742
radius_worst <= 16.795000076293945,4,20,0.08586217268004288
area_worst <= 929.8000183105469,4,20,0.016803018817011333
area_se <= 48.70000076293945,4,20,0.008919706658347674
concavity_worst <= 0.2248000055551529,3,20,0.01808897945687904
area_worst <= 710.2000122070312,3,20,0.010141425485197732
concave points_worst <= 0.14169999957084656,2,20,0.01245162359338131
concave points_worst <= 0.1359499990940094,2,20,0.020442658305304756
texture_mean <= 15.420000076293945,2,20,0.009043274304264158
concave points_worst <= 0.1454000025987625,1,20,0.01451983279675654
area_worst <= 768.1000061035156,1,20,0.020724340922876158
concavity_worst <= 0.20795000344514847,1,20,0.012330549940541119
